,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35020720060007,408,46.8,805.7,238.5,130,16.0,13.0,70.0,23.0,,,,,,,,,,9.0,55.0,24.0,39.0,,6.0,,39,,,,,,,8.0,,5.0,,,,,,,11.0,,,6.0,,6.0,,,,,,15.0,,12.0,,,9.0,18.0,,,154.0,42.0,15.0,11.0,
35020720060008,446,49.6,22932.9,316.3,160,,,154.0,,,,,,,,,,,,,154.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,
35020720060009,370,47.3,1948.8,242.1,128,10.0,89.0,22.0,,,,,,,,,,,,86.0,,37.0,5.0,9.0,,47,,,6.0,,,,12.0,,,,,,5.0,,,,,,12.0,,,,16.0,,5.0,,46.0,70.0,6.0,,,,27.0,,78.0,19.0,,,35.0,
35020720060010,475,33.1,3916.6,18.5,6,,,,,,,,,,,,,,,6.0,,,,214.0,,12,,,,,,,,,,,,,,,,,,,,,,,13.0,,,35.0,,,,,,,,,,,,,6.0,
35020720060011,739,37.9,13581.5,63.8,180,,,143.0,10.0,,7.0,,9.0,5.0,,,,,,37.0,138.0,,5.0,8.0,,74,,,,,,,7.0,,41.0,,,,,,,,,9.0,8.0,,,,12.0,,,17.0,17.0,,90.0,,,,,,,,5.0,16.0,23.0,
35020720060101,540,37.7,48699.0,50.5,217,,,217.0,,,,,,,,,,,,,217.0,,,,,12,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,10.0,,,,
35020720060102,673,39.1,65778.7,60.4,224,,,224.0,,,,,,,,,,,,,224.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35020720060103,576,37.8,49978.9,53.6,191,,,191.0,,,,,,,,,,,,,191.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,6.0,,,
35020720060201,496,35.6,34772.5,35.6,175,,,,175.0,,,,,,,,,,,,175.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020720060202,469,38.5,32967.9,60.6,183,,,,182.0,,,,,,,,,,,,182.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,16.0,,,
35020720060203,647,36.4,45689.6,44.3,244,,,,244.0,,,,,,,,,,,,244.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020720060501,480,37.6,36781.0,52.6,156,,,,156.0,,,,,,,,,,,,156.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020720060502,426,36.6,41023.8,45.3,127,,,,127.0,,,,,,,,,,,,127.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
35020720060601,647,38.4,70812.9,51.9,212,,,212.0,,,,,,,,,,,,,212.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35020720060602,425,40.0,29379.6,80.3,177,,,175.0,,,,,,,,,,,,,173.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
35020720060801,367,32.6,71422.5,17.3,108,,,,108.0,,,,,,,,,,,,108.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
35020720061001,326,38.6,37788.3,60.0,224,,,42.0,,182.0,,,,,,,,,,,224.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020720061201,422,36.2,100302.0,50.0,153,,,153.0,,,,,,,,,,,,,153.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,6.0,,,
35020720061202,437,40.5,56939.1,97.0,153,,,153.0,,,,,,,,,,,,,153.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020720061401,486,38.4,65231.6,39.2,229,,,,229.0,,,,,,,,,,,,229.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,5.0,,,
35020720061402,680,38.6,75875.1,48.6,335,,,,335.0,,,,,,,,,,,,335.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020720070007,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020720070101,740,34.6,2786.7,33.9,273,23.0,,,,247.0,,,,,,,,,,25.0,247.0,,,,,36,,,,,,,13.0,,,,,,,,,,,,11.0,,,,,,,17.0,36.0,,6.0,,,,,,,,,,93.0,
35020720070102,648,31.8,54.7,17.1,227,,,,,226.0,,,,,,,,,,,226.0,,,19.0,,345,,,99.0,,9.0,30.0,37.0,73.0,25.0,,,,6.0,31.0,,,,,18.0,,,88.0,9413.0,132.0,153.0,175.0,123.0,803.0,129.0,,10.0,75.0,31.0,899.0,30.0,,16.0,,136.0,
35020720070103,648,31.3,55223.7,19.1,202,,,,,202.0,,,,,,,,,,,202.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,6.0,,,
35020720070104,629,31.9,33996.2,14.1,216,,,,,216.0,,,,,,,,,,,216.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020730010001,539,53.6,84.3,644.8,218,102.0,38.0,37.0,15.0,15.0,,,,,,,,,,214.0,,,,16.0,,107,,,7.0,,6.0,5.0,50.0,9.0,10.0,,,,,,,,,,12.0,,,,27.0,,59.0,19.0,157.0,40.0,25.0,,,12.0,,,,13.0,6.0,7.0,29.0,
35020730010002,487,53.3,74.6,579.3,197,86.0,35.0,54.0,10.0,,,,,,,,,,,193.0,,,,5.0,,61,,,7.0,,,8.0,16.0,13.0,,,,,,,,,,,6.0,,,,33.0,,33.0,71.0,42.0,99.0,,,26.0,10.0,,,,21.0,,,12.0,
35020730010003,682,56.0,143.6,1252.4,290,178.0,54.0,38.0,5.0,9.0,,,,,,,,,,284.0,,,6.0,30.0,,303,,,30.0,,,19.0,112.0,61.0,15.0,,,7.0,,6.0,,,,,44.0,,,,102.0,,29.0,102.0,340.0,544.0,39.0,9.0,,32.0,10.0,28.0,14.0,,,,112.0,
35020730020001,445,53.8,80.0,950.0,179,68.0,46.0,32.0,15.0,9.0,,,,,,,,,,175.0,,,,5.0,,45,,,,,,13.0,16.0,6.0,,,,,,,,,,,,,,,12.0,,,317.0,55.0,24.0,5.0,,,,,,,,,,10.0,
35020730020002,529,50.7,1083.0,336.2,205,133.0,57.0,5.0,,5.0,,,,,,,,,,204.0,,,,5.0,,59,,,6.0,,,5.0,9.0,,30.0,,,,,,,,,,,,,,13.0,,,19.0,30.0,,114.0,,,,,,,,,,5.0,
35020730030001,723,38.1,2284.8,50.4,286,,180.0,10.0,,,,,,,93.0,,,,7.0,,272.0,,5.0,,,105,,,,,,,29.0,,25.0,,,6.0,,,,9.0,6.0,5.0,22.0,,,,,,,,53.0,,54.0,,8.0,15.0,,,,20.0,28.0,12.0,30.0,
35020730030002,512,39.7,8458.0,63.2,261,,,,119.0,120.0,8.0,,,,5.0,,,,,20.0,234.0,,7.0,,,74,,,,,,,19.0,,34.0,,,,,,,,,,11.0,,,,,,,,41.0,,85.0,,,11.0,,5.0,,,5.0,,15.0,
35020730030003,687,36.3,11417.4,53.0,200,,,167.0,5.0,,,18.0,,,,,,,,15.0,166.0,15.0,,8.0,,67,,,,,,,9.0,,35.0,,,6.0,,,,,,,10.0,,,,11.0,,,,19.0,,71.0,,,15.0,,,,,17.0,9.0,17.0,
35020730030004,648,33.3,7245.9,31.9,261,,,173.0,,,,,,6.0,80.0,,,,,7.0,252.0,,,,,16,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,14.0,,9.0,,,,,,,115.0,,,5.0,
35020730030201,523,43.5,23444.9,143.5,280,,280.0,,,,,,,,,,,,,,280.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35020730030202,562,41.5,25715.0,109.9,262,,262.0,,,,,,,,,,,,,,262.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020730030601,642,36.6,57940.7,47.1,219,,,219.0,,,,,,,,,,,,,219.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35020730030602,391,37.2,57712.6,47.2,127,,,127.0,,,,,,,,,,,,,127.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020730031001,748,29.3,51935.2,13.1,266,,,,,,,,,,266.0,,,,,,266.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020730031002,740,30.3,47788.1,8.0,264,,,,,,,,,,264.0,,,,,,264.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020730031003,976,29.4,32803.6,11.5,343,,,,,,,,,,343.0,,,,,,343.0,,,,,18,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,5.0,,,,,13.0,,,,,14.0,,9.0,
35020730040001,523,36.3,3959.9,39.3,100,,,28.0,22.0,16.0,13.0,7.0,5.0,,,,,,16.0,55.0,22.0,,7.0,7.0,,66,,,5.0,,,,30.0,,7.0,,,,,,,,,,13.0,,,,18.0,,,12.0,67.0,28.0,18.0,,,,,,,,20.0,,32.0,
35020730040002,546,36.6,5287.0,54.9,96,,,41.0,,15.0,15.0,5.0,12.0,,,,,,,57.0,,30.0,9.0,6.0,,118,,,5.0,,,,21.0,,62.0,,,,,,,,,,15.0,,,,8.0,,11.0,14.0,69.0,,128.0,,,5.0,,,,5.0,10.0,7.0,29.0,
35020730040003,458,44.0,257.3,215.8,115,23.0,29.0,23.0,8.0,13.0,8.0,5.0,,,,,,,,103.0,,,12.0,22.0,,137,,,24.0,,,24.0,46.0,9.0,11.0,,,5.0,,,,,,,14.0,,,,157.0,,,189.0,185.0,32.0,14.0,,,8.0,,,34.0,,9.0,,32.0,
35020730040004,459,34.4,6913.4,32.4,116,,,5.0,,83.0,8.0,,7.0,,,,8.0,,6.0,29.0,81.0,,,5.0,,28,,,,,,5.0,6.0,,,,,,,,,,7.0,,5.0,,,,6.0,,,20.0,14.0,,11.0,,,,,,,,165.0,,12.0,
35020730040005,574,44.5,5728.6,153.3,330,,,290.0,6.0,,,,,,9.0,,12.0,,7.0,32.0,275.0,10.0,6.0,7.0,,45,,,6.0,,,7.0,10.0,,,,,,,,,,,,7.0,,,,22.0,,,27.0,27.0,,11.0,,,12.0,15.0,,,29.0,18.0,,12.0,
35020730040301,640,44.5,25814.7,198.0,348,,,348.0,,,,,,,,,,,,,348.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,5.0,
35020730040501,322,43.0,42040.6,121.7,227,,,227.0,,,,,,,,,,,,,227.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,5.0,,,,,,,,
35020740010001,426,42.1,973.2,136.6,122,14.0,5.0,42.0,11.0,5.0,11.0,,27.0,,,,,,11.0,41.0,29.0,23.0,18.0,37.0,,313,,,,,,8.0,31.0,,202.0,,,,,,,6.0,5.0,12.0,32.0,,,,8.0,8.0,53.0,231.0,81.0,,617.0,,,8.0,9.0,,24.0,9.0,57.0,16.0,98.0,
35020740010002,455,37.4,21718.6,88.6,198,,,184.0,,,,,6.0,,,,,,,14.0,183.0,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,7.0,,,8.0,,,,,15.0,,,
35020740010003,517,33.6,14531.0,25.6,189,,,,143.0,10.0,6.0,,,27.0,,,,,27.0,17.0,143.0,,,,,31,,,,,,,8.0,,16.0,,,,,,,,,,,,,,,,,,21.0,,28.0,,,11.0,,,,,11.0,,,
35020740010004,387,34.0,772.4,38.8,42,,,15.0,11.0,,,6.0,,,,,,,8.0,16.0,14.0,,,37.0,,87,,,8.0,,,,20.0,,28.0,,,,,,,,,5.0,13.0,,,,20.0,,,,49.0,,49.0,,,7.0,,66.0,,,17.0,10.0,23.0,
35020740010101,574,43.4,46967.0,149.2,222,,,222.0,,,,,,,,,,,,,222.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740010102,582,44.8,39346.1,172.0,225,,,225.0,,,,,,,,,,,,,225.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,12.0,,,,,,,,
35020740010201,555,44.7,43426.3,178.6,206,,,206.0,,,,,,,,,,,,,206.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020740010202,518,43.0,46772.4,134.8,201,,,201.0,,,,,,,,,,,,,201.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35020740010601,643,29.8,70246.3,12.2,236,,,,236.0,,,,,,,,,,,,236.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020740010801,590,39.4,62519.0,63.8,345,,,345.0,,,,,,,,,,,,,345.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
35020740020001,682,46.3,12922.2,245.9,296,,267.0,24.0,,,,,,,,,,,,9.0,205.0,82.0,,,,18,,,,,,,,,7.0,,,,,,,,,,5.0,,,,,,,,,,26.0,,,,,,,20.0,,,8.0,
35020740020002,201,41.9,91.3,130.4,26,11.0,,6.0,,,,,,,,,,,,23.0,,,,62.0,,66,,,,,,,7.0,,41.0,,,,,,,,,,,,,,,,,57.0,26.0,,175.0,,,,,,,6.0,17.0,,12.0,
35020740020003,512,35.9,1825.9,157.1,121,20.0,9.0,28.0,23.0,27.0,6.0,,,,,,,,31.0,81.0,,,9.0,7.0,,149,,,,,,,30.0,,48.0,,,,,,,34.0,,,21.0,,,,,,,11.0,56.0,,100.0,,12.0,,5.0,,,203.0,7.0,9.0,31.0,
35020740020005,719,30.3,17237.2,63.9,50,,,,29.0,17.0,,,,,,,,,,49.0,,,,89.0,,78,,,,,,,25.0,,18.0,,,,,,,,6.0,7.0,10.0,,,,,,,,67.0,,50.0,,,21.0,12.0,18.0,,5.0,26.0,12.0,12.0,
35020740020006,607,40.4,12851.4,100.0,220,,215.0,,,,,,,,,,,,,7.0,211.0,,,8.0,,63,,,,,,,24.0,,6.0,,,5.0,,,,,,5.0,12.0,,,,,,,,46.0,,77.0,,6.0,9.0,9.0,,,,20.0,6.0,12.0,
35020740020007,389,34.6,1356.4,100.0,48,,,5.0,12.0,7.0,,,,15.0,,,,,15.0,23.0,,,10.0,87.0,,186,,,,,,,35.0,,85.0,,,,,6.0,,6.0,,30.0,14.0,,,,6.0,,,,74.0,,209.0,,,,12.0,11.0,,8.0,11.0,48.0,26.0,
35020740020008,416,29.7,20431.4,166.7,49,,,,33.0,13.0,,,,,,,,,,49.0,,,,,,51,,,,,,,11.0,,15.0,,,,,,,7.0,,,16.0,,,,,,,,22.0,,32.0,,,,,,,9.0,,,23.0,
35020740020101,823,37.6,39801.8,62.1,396,,,,396.0,,,,,,,,,,,,396.0,,,,,14,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,7.0,,6.0,,,7.0,,,,,,,,
35020740020201,644,38.8,41485.0,46.1,200,,,200.0,,,,,,,,,,,,,200.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35020740020202,643,38.8,48339.1,60.2,197,,,197.0,,,,,,,,,,,,,197.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
35020740020301,555,37.6,55715.5,60.0,165,,,165.0,,,,,,,,,,,,,165.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
35020740020302,520,35.4,42314.1,27.0,158,,,158.0,,,,,,,,,,,,,158.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,38.0,
35020740020401,569,42.6,29212.5,105.1,194,,,194.0,,,,,,,,,,,,,194.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,8.0,,6.0,
35020740020501,384,37.4,56630.9,41.1,116,,,116.0,,,,,,,,,,,,,116.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35020740020502,460,33.5,54890.0,21.7,134,,,134.0,,,,,,,,,,,,,134.0,,,,,7,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,8.0,,,,,12.0,,,,,,,,
35020740020601,479,31.8,79852.0,22.6,163,,,163.0,,,,,,,,,,,,,163.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35020740020602,707,35.3,55191.7,43.9,281,,,281.0,,,,,,,,,,,,,281.0,,,,,27,,,,,,,12.0,,9.0,,,,,,,,,,,,,,,,,,25.0,,18.0,,,,,,,,9.0,,,
35020740020603,607,37.9,55038.0,55.9,225,,,225.0,,,,,,,,,,,,,225.0,,,,,16,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,5.0,,6.0,12.0,,,,,,,,
35020740020701,970,34.3,77288.6,24.8,330,,,330.0,,,,,,,,,,,,,330.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,
35020740020702,661,34.3,52285.3,35.4,223,,,223.0,,,,,,,,,,,,,223.0,,,,,26,,,,,,,9.0,,,,,,,,,7.0,,,,,,,,,,,21.0,,,,,10.0,,,,10.0,12.0,,5.0,
35020740020801,399,34.7,59668.1,23.5,125,,,125.0,,,,,,,,,,,,,125.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35020740020802,602,35.6,67114.0,39.2,190,,,190.0,,,,,,,,,,,,,190.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740020803,417,35.9,56304.4,30.0,137,,,137.0,,,,,,,,,,,,,137.0,,,,,18,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,7.0,,,,,,,,,5.0,18.0,,,
35020740020901,664,35.3,52400.6,44.2,246,,,246.0,,,,,,,,,,,,,246.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,23.0,,5.0,
35020740021001,836,34.0,13701.3,32.1,284,,,284.0,,,,,,,,,,,,,284.0,,,,,98,,,,,,,20.0,,12.0,,,,,,,34.0,9.0,,17.0,,,,,,,,198.0,,30.0,,18.0,,5.0,,,219.0,45.0,,74.0,
35020740021002,814,31.9,38972.3,22.3,274,,,274.0,,,,,,,,,,,,,274.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,7.0,,,
35020740021003,682,33.6,121328.3,23.6,225,,,225.0,,,,,,,,,,,,,225.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740021101,708,36.0,78888.6,38.3,286,,,,286.0,,,,,,,,,,,,286.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740021102,551,40.5,54642.6,100.0,280,,,,280.0,,,,,,,,,,,,280.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740021103,696,37.8,71251.9,55.9,288,,,,288.0,,,,,,,,,,,,288.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
35020740021104,383,33.9,86094.8,27.3,154,,,,154.0,,,,,,,,,,,,154.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
35020740021701,936,34.9,43857.0,25.1,304,,,,,304.0,,,,,,,,,,,304.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35020740021801,440,35.9,36242.6,37.8,143,,,,,143.0,,,,,,,,,,,143.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020740021802,554,32.9,52927.8,20.6,173,,,,,173.0,,,,,,,,,,,173.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,5.0,,,
35020740021901,585,35.6,55261.2,43.1,224,,,,224.0,,,,,,,,,,,,224.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,6.0,,,,,8.0,,,
35020740021902,680,37.9,48813.6,64.7,258,,,,258.0,,,,,,,,,,,,258.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740021903,662,37.6,33826.7,63.0,251,,,,251.0,,,,,,,,,,,,251.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020740022001,492,34.2,29767.8,34.3,193,,,,193.0,,,,,,,,,,,,193.0,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
35020740022002,471,36.2,50913.2,27.6,145,,,,145.0,,,,,,,,,,,,145.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0,,,
35020740022003,562,36.2,70504.9,37.3,186,,,,186.0,,,,,,,,,,,,186.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
35020740022004,546,34.5,45746.2,28.9,226,,,,226.0,,,,,,,,,,,,226.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740022101,444,32.1,47482.8,16.5,171,,,,171.0,,,,,,,,,,,,171.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020740022102,544,31.6,66307.7,13.6,184,,,,184.0,,,,,,,,,,,,184.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,17.0,,,
35020740022103,583,32.3,37921.4,21.9,245,,,,245.0,,,,,,,,,,,,245.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020740022104,512,33.3,48883.6,25.4,194,,,,194.0,,,,,,,,,,,,194.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020740022105,551,32.1,54564.8,14.7,212,,,,212.0,,,,,,,,,,,,212.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020740022106,610,34.2,47623.8,35.2,236,,,,236.0,,,,,,,,,,,,236.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
35020740022301,431,36.2,30048.6,26.7,138,,,,,138.0,,,,,,,,,,,138.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740022302,742,34.3,29429.4,25.4,238,,,,,238.0,,,,,,,,,,,238.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740022303,621,34.7,55888.9,22.5,198,,,,,198.0,,,,,,,,,,,198.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740022304,390,32.6,56263.5,16.0,120,,,,,120.0,,,,,,,,,,,120.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740022305,366,35.6,53074.0,28.8,118,,,,,118.0,,,,,,,,,,,118.0,,,,,20,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,18.0,,,,,18.0,,5.0,
35020740022306,436,36.0,62411.5,28.7,138,,,,,138.0,,,,,,,,,,,138.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35020740030001,636,46.5,395.6,439.3,213,47.0,24.0,70.0,55.0,9.0,,,,,,,,,51.0,143.0,,18.0,,7.0,,32,,,,,,,14.0,,,,,,,,,,,,8.0,,,,,,,14.0,24.0,,,,,,,72.0,,27.0,,7.0,52.0,
35020740030002,1431,20.2,1823.4,0.0,0,,,,,,,,,,,,,0.0,,,,,,,,41,,,,,,,7.0,,,,,,9.0,,,6.0,,,,,,,7.0,,,,18.0,,14.0,,6.0,,44.0,9.0,17.0,1035.0,,8.0,,
35020740040001,321,53.3,150.6,666.7,138,56.0,10.0,41.0,5.0,14.0,,,,,,,,,,135.0,,,,,,31,,,,,,7.0,7.0,,,,,,,,,,,,,,,,16.0,,,47.0,26.0,,14.0,,,,,,,21.0,9.0,5.0,7.0,
35030110010001,564,46.1,2180.8,196.7,213,20.0,40.0,123.0,,,,,,,,5.0,16.0,,25.0,72.0,68.0,44.0,,,,25,,,,,,,7.0,,6.0,,,,,,,,,,,,,,6.0,,,12.0,9.0,,11.0,,,,,,18.0,,5.0,,9.0,
35030110010002,439,44.0,4345.0,149.0,170,7.0,30.0,97.0,5.0,,,,,,,,25.0,,,37.0,108.0,13.0,12.0,7.0,,51,,,,,,,15.0,,12.0,,,,,,,,,,8.0,,,,,,,,26.0,,24.0,23.0,6.0,,,,,21.0,20.0,7.0,13.0,
35030110010003,619,43.6,1007.8,513.3,169,54.0,51.0,32.0,12.0,11.0,,,,,,,,,23.0,141.0,,,5.0,14.0,,78,,,,,,,20.0,,11.0,,,,,,,8.0,,,19.0,,,,11.0,,,37.0,27.0,56.0,26.0,,,8.0,8.0,9.0,,50.0,12.0,,81.0,
35030110010004,448,47.8,2128.9,204.4,160,21.0,35.0,90.0,8.0,,,,,,,,,,,56.0,55.0,45.0,,12.0,,78,,,8.0,,,,15.0,,23.0,,,,,,,,6.0,6.0,12.0,,,,24.0,,,,22.0,11.0,44.0,,,,,,19.0,,73.0,16.0,22.0,
35030110010005,486,53.9,2825.4,638.5,152,60.0,32.0,46.0,6.0,,,,,,,,,,,122.0,,,25.0,14.0,,214,,,21.0,,,,86.0,,38.0,,,,,,,,17.0,,34.0,,,,34.0,,,,136.0,8.0,63.0,,36.0,,,,9.0,,130.0,5.0,37.0,
35030110010006,471,51.0,183.9,451.5,187,85.0,29.0,47.0,17.0,6.0,,,,,,,,,6.0,174.0,,,7.0,11.0,,50,,,13.0,,,,15.0,,7.0,,,,,,,,,,12.0,,,,69.0,,,,28.0,,9.0,,,,,,,43.0,,,17.0,
