,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011630020005,408,39.1,8396.1,116.7,88,14.0,,31.0,9.0,,,,20.0,,,,,,28.0,48.0,,,12.0,,,70,,,,,,6.0,23.0,,9.0,,,,,,,,,,13.0,,,,12.0,,,26.0,57.0,,29.0,,,7.0,11.0,14.0,,24.0,18.0,,29.0,
35011630020006,521,37.6,11613.8,50.9,133,,,17.0,70.0,39.0,,,,,,,,,68.0,32.0,27.0,,6.0,,,97,,,5.0,,,5.0,34.0,,15.0,,,,5.0,5.0,,,,5.0,13.0,,,,13.0,,,78.0,100.0,24.0,42.0,,13.0,9.0,14.0,82.0,,5.0,6.0,11.0,30.0,
35011630020007,454,40.2,5959.0,69.2,165,,,59.0,22.0,69.0,,,,,,,,,9.0,22.0,119.0,,15.0,5.0,,119,,,,,,,17.0,,47.0,,,,,,,5.0,6.0,14.0,18.0,,,,,,,12.0,120.0,,187.0,,18.0,6.0,39.0,,,33.0,70.0,32.0,96.0,
35011630020008,674,38.3,14078.0,94.0,96,,,33.0,42.0,10.0,,,,,,,,,42.0,46.0,,,8.0,,,120,,,5.0,,,,22.0,,22.0,,,8.0,18.0,,,10.0,5.0,,19.0,,,,13.0,,,68.0,53.0,,66.0,9.0,,21.0,128.0,20.0,,41.0,21.0,5.0,33.0,
35011630020009,403,37.9,3676.4,53.3,72,,,,41.0,12.0,,5.0,,,,,,,6.0,30.0,,,36.0,12.0,,309,,,5.0,,,15.0,58.0,,62.0,,5.0,13.0,6.0,5.0,,91.0,8.0,6.0,31.0,,,,16.0,,,239.0,145.0,,245.0,19.0,14.0,25.0,34.0,35.0,11.0,241.0,82.0,10.0,60.0,
35011630020010,546,42.0,6071.0,109.3,104,5.0,,52.0,32.0,,,6.0,,,,,,,22.0,67.0,,,15.0,8.0,,185,,,10.0,,,19.0,68.0,,29.0,,,,15.0,10.0,,,,10.0,16.0,,,,56.0,,,260.0,188.0,,90.0,,,8.0,48.0,102.0,,5.0,31.0,19.0,29.0,
35011630020011,398,34.9,13518.0,39.6,69,,,5.0,21.0,27.0,,,,,,,6.0,,22.0,34.0,,8.0,5.0,,,52,,,,,,,21.0,,5.0,,,,5.0,,,,,,11.0,,,,6.0,,,12.0,63.0,10.0,17.0,,,,27.0,17.0,,,,,23.0,
35011630020012,350,38.8,2340.4,93.9,73,,,16.0,19.0,28.0,,,6.0,,,,,,27.0,28.0,,10.0,8.0,9.0,,189,,,,,,8.0,58.0,,21.0,,,8.0,10.0,6.0,,18.0,15.0,12.0,24.0,,,,,,,73.0,254.0,43.0,84.0,38.0,8.0,12.0,60.0,456.0,,70.0,186.0,23.0,83.0,
35011630020013,554,42.5,14518.6,132.2,225,,106.0,87.0,,30.0,,,,,,,,,,,222.0,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,,14.0,,,8.0,19.0,,,,,,,
35011630020014,513,37.4,13816.3,65.3,58,,,18.0,14.0,14.0,,,,,,,,,,55.0,,,,,,71,,,7.0,,,13.0,13.0,,11.0,,,,6.0,,,,,,10.0,,,,27.0,,,328.0,48.0,,27.0,,,28.0,19.0,21.0,,,17.0,,14.0,
35011630020015,495,35.6,6210.6,39.1,86,,,9.0,55.0,11.0,,,,,,,,,25.0,37.0,,,24.0,9.0,,251,,,7.0,,,21.0,46.0,,85.0,,,6.0,15.0,,,22.0,,16.0,25.0,,,,19.0,,10.0,234.0,126.0,,299.0,9.0,16.0,15.0,105.0,,,74.0,,31.0,49.0,
35011630020016,456,36.3,9886.7,37.5,77,,,39.0,17.0,8.0,,,6.0,,,,,,14.0,44.0,,11.0,8.0,,,79,,,7.0,,,15.0,11.0,,17.0,,,,8.0,,,7.0,,,6.0,,,,16.0,,,124.0,26.0,,39.0,,,,24.0,,,75.0,7.0,,15.0,
35011630020017,488,35.4,9511.1,37.1,91,,,32.0,15.0,37.0,,,,,,,,,44.0,44.0,,,,10.0,,103,,,,,,7.0,20.0,,26.0,,,,11.0,,,,6.0,13.0,5.0,,,,6.0,,,93.0,69.0,,84.0,,58.0,42.0,49.0,38.0,,99.0,56.0,28.0,9.0,
35011630020201,660,40.1,27573.2,70.9,224,,,,,224.0,,,,,,,,,,,224.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35011630020301,553,34.7,48342.8,33.3,160,,,,160.0,,,,,,,,,,,,160.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020302,689,36.1,56586.5,38.7,220,,,,220.0,,,,,,,,,,,,220.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
