,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011720010702,555,41.9,44606.3,128.8,195,,,,,195.0,,,,,,,,,,,,195.0,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,5.0,,,,,,,5.0,,,6.0,
35011720010703,758,42.8,42630.1,133.3,260,,,,,260.0,,,,,,,,,,,,260.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,11.0,9.0,,,
35011720010801,410,37.2,52727.6,55.7,137,,,,,,137.0,,,,,,,,,,,137.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011720010901,611,29.3,56645.0,11.0,176,,,,,,,,,,,176.0,,,,,,176.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,5.0,,,
35011720020001,124,36.2,1013.8,57.1,45,,,,36.0,,7.0,,,,,,,,,,,,36.0,8.0,,,277,,,,,,,96.0,,35.0,,5.0,11.0,5.0,,,40.0,19.0,20.0,32.0,,,,21.0,,,22.0,221.0,74.0,109.0,6.0,35.0,35.0,11.0,40.0,,185.0,94.0,47.0,89.0,
35011720020002,500,32.9,9522.5,18.4,60,,,,,,25.0,15.0,6.0,,8.0,,,,,,43.0,,,17.0,,,140,,,,,,,33.0,,35.0,,,6.0,,,,39.0,6.0,,14.0,,,,,,,,93.0,,99.0,,10.0,10.0,,,106.0,170.0,32.0,,26.0,
35011720020003,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,
35011720020101,804,32.1,91713.9,24.1,252,,,,,,252.0,,,,,,,,,,,252.0,,,,,18,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,5.0,,,,,,,,,11.0,,,,
35011720020102,757,32.6,70936.1,26.2,246,,,,,,246.0,,,,,,,,,,,246.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35011720020201,556,35.8,69083.8,51.0,180,,,,,180.0,,,,,,,,,,,,180.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011720020202,555,35.6,52788.6,43.3,164,,,,,164.0,,,,,,,,,,,,164.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,13.0,,,,,8.0,,,,,6.0,,,
35011720020301,749,36.3,69447.6,42.6,239,,,,,239.0,,,,,,,,,,,,239.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,5.0,
35011720020302,414,34.8,66432.7,25.6,118,,,,,118.0,,,,,,,,,,,,118.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011720020401,480,38.1,78293.5,51.5,149,,,,,149.0,,,,,,,,,,,,149.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35011720020402,568,39.6,56505.6,72.6,178,,,,,178.0,,,,,,,,,,,,178.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011720020403,681,40.1,38078.1,72.1,209,,,,,209.0,,,,,,,,,,,,209.0,,,,,54,,,,,,,10.0,,11.0,,,7.0,,,,13.0,,,7.0,,,,6.0,,,,16.0,,32.0,,,24.0,,,,21.0,6.0,,9.0,
35011720020404,562,34.9,61889.9,51.9,206,,,,,206.0,,,,,,,,,,,,206.0,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,12.0,,,,,,,,,5.0,,,,
35011720020405,570,34.1,78662.2,39.8,221,,,,,221.0,,,,,,,,,,,,221.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011720020406,583,40.0,42617.4,72.3,178,,,,,178.0,,,,,,,,,,,,178.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011720020501,704,35.6,111744.6,38.1,232,,,,,,232.0,,,,,,,,,,,232.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011720020502,720,33.6,102619.0,32.7,232,,,,,,232.0,,,,,,,,,,,232.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,6.0,,,
35011720020601,409,40.6,40502.8,85.7,148,,,,,148.0,,,,,,,,,,,,148.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011720020602,685,38.5,49199.9,73.3,234,,,,,234.0,,,,,,,,,,,,234.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35011720020603,592,37.9,63092.9,59.8,195,,,,,195.0,,,,,,,,,,,,195.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011740010001,634,45.3,18955.8,208.6,200,9.0,20.0,18.0,16.0,126.0,9.0,,,,,,,,,,78.0,120.0,,,,,30,,,,,,,7.0,,,,,,,,,,,,7.0,,,,,,,,9.0,,8.0,46.0,,,,,,,15.0,,11.0,
35011740010002,472,45.2,5081.8,198.0,122,22.0,12.0,30.0,33.0,16.0,,,,,,,,,,,99.0,,,23.0,,,314,,,41.0,,,5.0,84.0,7.0,61.0,8.0,,13.0,12.0,10.0,,10.0,9.0,,50.0,,,,77.0,,,27.0,153.0,12.0,150.0,60.0,10.0,103.0,30.0,27.0,,19.0,25.0,7.0,104.0,
35011740010003,465,45.8,8135.8,212.8,126,14.0,10.0,42.0,31.0,15.0,6.0,,,,,,,,,,113.0,,,12.0,,,152,,,12.0,,,10.0,48.0,,42.0,,,,,,,,,6.0,20.0,,,,35.0,,,614.0,122.0,,96.0,,7.0,,20.0,11.0,,,5.0,6.0,52.0,
35011740010004,566,42.6,2174.8,172.3,161,8.0,10.0,37.0,57.0,20.0,11.0,11.0,,,,,,,,,141.0,,,20.0,,,1121,,,22.0,,,14.0,561.0,16.0,221.0,15.0,12.0,12.0,22.0,7.0,,28.0,30.0,44.0,116.0,,,,47.0,,,344.0,1567.0,32.0,1017.0,125.0,129.0,100.0,111.0,40.0,,98.0,158.0,117.0,268.0,
35011740010005,548,42.3,7377.3,135.6,152,15.0,17.0,44.0,29.0,15.0,7.0,5.0,,,19.0,,,,,,130.0,19.0,,,,,150,,,26.0,,,5.0,56.0,,10.0,,,,,8.0,,5.0,6.0,,20.0,,,,49.0,,,16.0,105.0,5.0,34.0,41.0,,,,29.0,,6.0,137.0,10.0,34.0,
35011740010006,777,39.3,4292.4,252.6,169,24.0,14.0,36.0,54.0,20.0,6.0,12.0,,,,,,,,,163.0,,,6.0,8.0,,112,,,8.0,,,,24.0,,42.0,5.0,,,,,,,,,15.0,,,,12.0,,,,65.0,15.0,82.0,32.0,,,31.0,10.0,,,18.0,,18.0,
35011740010007,1414,46.1,10797.7,250.8,461,69.0,137.0,116.0,81.0,22.0,9.0,19.0,,,,,,,,9.0,428.0,,15.0,9.0,,,87,,,6.0,,,,38.0,,13.0,,,,,,,,,,14.0,,,,8.0,,,96.0,83.0,,23.0,5.0,,,,,,,18.0,8.0,46.0,
35011740010008,639,46.2,4527.5,280.8,210,30.0,27.0,55.0,58.0,23.0,6.0,7.0,,,,,,,,,194.0,,,16.0,,,263,,,17.0,,,10.0,108.0,,26.0,8.0,,8.0,,9.0,,7.0,,,52.0,,,,25.0,,,33.0,261.0,7.0,53.0,43.0,21.0,26.0,12.0,91.0,13.0,69.0,18.0,,127.0,
35011740010009,570,47.6,6402.1,314.3,197,11.0,14.0,27.0,120.0,13.0,,5.0,,,,,,,,,93.0,90.0,,14.0,,,575,,,43.0,,,,414.0,,33.0,,,,,5.0,,,,,66.0,,,,81.0,,,7.0,566.0,,55.0,10.0,11.0,23.0,,17.0,,,,,80.0,
35011740010010,940,45.4,9117.8,239.3,292,59.0,43.0,84.0,52.0,23.0,9.0,19.0,,,,,,,,,284.0,,,8.0,,,107,,,20.0,,,7.0,40.0,,5.0,,,,,,,,,,26.0,,,,53.0,,,53.0,97.0,,9.0,,,,5.0,38.0,,,,,41.0,
35011740010301,587,37.1,35631.8,56.8,170,,,,,,,,,,,,170.0,,,,,170.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011740010302,591,39.7,28981.7,74.4,184,,,,,,,,,,,,184.0,,,,,184.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,
35011740010303,527,37.8,25106.0,50.0,161,,,,,,,,,,,,161.0,,,,,161.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,8.0,,,
35011740010401,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,
35011750010001,1277,45.3,1404.9,202.3,454,43.0,74.0,125.0,124.0,41.0,26.0,11.0,6.0,,,,,,,,420.0,33.0,,,,,32,,,,,,,9.0,,,,,,,,,,,,13.0,,,,,,,14.0,14.0,,,,,,,,,,,10.0,15.0,
35011750020001,640,42.6,8656.4,153.0,195,8.0,51.0,62.0,54.0,9.0,6.0,,,,,,,,,,169.0,22.0,,,,,231,,,51.0,,,14.0,59.0,5.0,35.0,,,,16.0,,,6.0,,,26.0,,,,109.0,,,272.0,107.0,43.0,62.0,7.0,12.0,,228.0,8.0,,14.0,18.0,7.0,43.0,
35011750020002,445,43.8,1855.9,220.0,128,7.0,14.0,46.0,47.0,7.0,,,,,,,,,,,120.0,,,8.0,,,620,,,33.0,,,5.0,165.0,16.0,119.0,8.0,23.0,7.0,37.0,13.0,,56.0,32.0,17.0,85.0,,,,55.0,,17.0,91.0,404.0,30.0,360.0,236.0,755.0,101.0,74.0,204.0,256.0,171.0,514.0,57.0,268.0,
35011750020003,750,44.1,6816.5,234.9,198,13.0,34.0,54.0,50.0,22.0,15.0,6.0,,,,,,,,,192.0,,,6.0,,,221,,,23.0,,,,51.0,,56.0,11.0,5.0,,14.0,,,8.0,,9.0,27.0,,,,42.0,,,18.0,122.0,5.0,115.0,37.0,74.0,,56.0,335.0,23.0,99.0,81.0,16.0,39.0,
35011750020004,1213,44.8,6055.1,245.5,328,69.0,51.0,65.0,50.0,28.0,28.0,21.0,7.0,,,,,,,,323.0,,,5.0,,,185,,,5.0,,,,60.0,,92.0,,,,,,,,,,15.0,,,,6.0,,,,89.0,,311.0,,,,,,,,16.0,,16.0,
35011750020005,723,43.7,4450.0,322.0,189,32.0,37.0,61.0,27.0,9.0,9.0,,,,,,,,,,179.0,,,10.0,,,146,,,6.0,,,,62.0,,38.0,,,,,,,5.0,6.0,,16.0,,,,8.0,,,5.0,142.0,,85.0,,50.0,,7.0,5.0,20.0,153.0,51.0,33.0,27.0,
35011750020006,705,47.9,5525.4,317.0,183,5.0,10.0,32.0,110.0,13.0,,,,,,,,,,,122.0,47.0,,14.0,7.0,,713,,,56.0,,,,477.0,,99.0,,,,,,,5.0,14.0,,41.0,,,,78.0,,,16.0,865.0,8.0,178.0,,39.0,8.0,5.0,,,9.0,65.0,,57.0,
35011750020007,867,43.6,6979.6,188.4,225,73.0,24.0,43.0,37.0,18.0,13.0,6.0,,,,,,,,,221.0,,,,,,195,,,8.0,,,,59.0,,89.0,,,,,,,,,10.0,12.0,,,,13.0,,,8.0,135.0,,352.0,,,,7.0,,,20.0,6.0,18.0,18.0,
35011760010001,479,57.4,2157.3,1035.0,123,15.0,18.0,41.0,33.0,5.0,,6.0,,,,,,,,,93.0,,,30.0,,,918,,,48.0,,,12.0,436.0,12.0,125.0,8.0,81.0,13.0,25.0,30.0,,17.0,28.0,14.0,66.0,,,,97.0,,,72.0,1031.0,87.0,306.0,41.0,2098.0,57.0,67.0,634.0,803.0,65.0,489.0,35.0,262.0,
35011760010002,366,50.0,7172.4,433.3,143,7.0,11.0,14.0,103.0,5.0,,,,,,,,,,,42.0,97.0,,,,,84,,,,,,5.0,28.0,,11.0,,,,,,,,5.0,,12.0,,,,8.0,,,11.0,93.0,,25.0,58.0,90.0,8.0,,,,5.0,45.0,,18.0,
35011760020001,646,40.1,7690.0,214.3,175,36.0,23.0,28.0,26.0,44.0,9.0,7.0,,,,,,,,,148.0,,24.0,,,,14,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,16.0,94.0,,,,
35011760020002,766,44.6,4708.7,207.1,235,19.0,32.0,54.0,70.0,28.0,15.0,10.0,,,,,,,,,228.0,,,7.0,,,68,,,9.0,,,,15.0,,6.0,,,,,,,,,,16.0,,,,42.0,,,28.0,31.0,,10.0,,,,,,80.0,,23.0,6.0,44.0,
35011760020003,838,44.1,8312.2,214.5,242,19.0,43.0,99.0,24.0,14.0,18.0,15.0,,6.0,,,,,,5.0,234.0,,,,,,89,,,5.0,,,7.0,18.0,,,29.0,,,5.0,,,,,,14.0,,,,26.0,,,31.0,30.0,,7.0,179.0,,,26.0,7.0,41.0,17.0,,,18.0,
35011760020004,649,43.5,1488.9,147.6,214,21.0,24.0,67.0,48.0,21.0,14.0,14.0,,,,,,,,,163.0,,51.0,,5.0,,16,,,,,,,,,,,,,,,,,,,7.0,,,,11.0,,,,6.0,,,,,,,,,7.0,10.0,,9.0,
35011760020005,739,45.6,11791.1,279.0,219,39.0,51.0,52.0,29.0,15.0,6.0,24.0,,,,,,,,,219.0,,,,,,40,,,,,,,10.0,,,,,,,,,,,,15.0,,,,,,,,20.0,,5.0,,,,,12.0,,,85.0,,16.0,
35011760020006,530,43.0,9039.5,146.7,168,6.0,11.0,23.0,59.0,10.0,18.0,31.0,5.0,,,,,,,,116.0,,49.0,,,,21,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,18.0,,6.0,,,27.0,,,,,,,,
35011760020007,663,40.5,16323.5,108.5,223,13.0,23.0,25.0,22.0,19.0,10.0,102.0,,,,,,,,,132.0,89.0,,,,,14,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,5.0,,,,,,,,,,,,10.0,
35011760020008,575,44.9,6190.2,234.0,187,58.0,34.0,27.0,31.0,7.0,12.0,14.0,,,,,,,,,181.0,,,,,,57,,,,,,,27.0,,5.0,,,,,,,,,,5.0,,,,8.0,,,11.0,38.0,,8.0,,,,24.0,5.0,,71.0,,,27.0,
35011760020009,688,42.5,7773.1,157.5,197,19.0,19.0,72.0,32.0,13.0,13.0,20.0,8.0,,,,,,,,193.0,,,,,,69,,,5.0,,,,18.0,,9.0,,,5.0,,,,,,,22.0,,,,10.0,,,10.0,36.0,6.0,24.0,,,15.0,,,13.0,,7.0,,39.0,
35011760020010,663,43.9,10822.2,178.5,201,21.0,33.0,37.0,32.0,31.0,15.0,24.0,,,,,,,,,197.0,,,,,,32,,,,,,,8.0,,,,,,,,,,,,14.0,,,,,,,,31.0,,5.0,,,,,,,,,,32.0,
35011760020011,956,45.8,9696.7,225.6,319,21.0,20.0,152.0,65.0,30.0,23.0,7.0,,,,,,,,,318.0,,,,,,20,,,,,,,,,,,,,,,,,,,8.0,,,,40.0,,,,,,,,,,,,,,13.0,,38.0,
35011760020012,701,45.2,9586.4,174.7,219,8.0,43.0,72.0,59.0,18.0,11.0,5.0,,,,,,,,24.0,183.0,,11.0,,,,23,,,,,,,9.0,,,,,,,,,,,,6.0,,,,,,,,13.0,,,,,,,,,87.0,,,7.0,
35011760020013,664,45.2,12094.0,172.6,200,16.0,34.0,64.0,44.0,15.0,12.0,6.0,5.0,,,,,,,,199.0,,,,,,21,,,,,,,6.0,,,,,,,,,,,,9.0,,,,10.0,,,,11.0,,,,,,,,,,,,11.0,
35011760020014,730,46.9,8243.5,277.0,220,,20.0,131.0,36.0,16.0,8.0,,,,,,,,,,218.0,,,,,,20,,,,,,,11.0,,,,,,,,,,,,,,,,,,,7.0,21.0,,,5.0,,,,,,,14.0,,8.0,
35011760020015,592,42.0,11655.9,134.2,180,16.0,14.0,43.0,39.0,9.0,11.0,46.0,,,,,,,,,138.0,37.0,,5.0,,,63,,,6.0,,,,23.0,,11.0,,,,,,,,,,9.0,,,,15.0,,,,38.0,,20.0,,7.0,,,638.0,,,7.0,21.0,10.0,
35011760020016,785,39.0,4573.5,335.7,208,28.0,31.0,43.0,56.0,20.0,16.0,11.0,,,,,,,,,201.0,,,7.0,,,281,,,,,,11.0,112.0,,55.0,,16.0,11.0,6.0,15.0,,5.0,9.0,,26.0,,,,7.0,,,236.0,390.0,7.0,100.0,187.0,324.0,51.0,17.0,632.0,,130.0,46.0,8.0,43.0,
35011760020101,881,41.7,65036.0,113.8,297,,,,,297.0,,,,,,,,,,,,297.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011760020201,736,35.0,66506.2,40.7,227,,,,,,,,227.0,,,,,,,,,227.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011760020202,565,36.8,52597.7,42.4,169,,,,,,,,169.0,,,,,,,,,169.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011760020301,124,49.8,11759.4,471.4,41,,10.0,14.0,6.0,,,,,,,,,,,,41.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011760020302,124,47.9,10851.3,371.4,43,5.0,8.0,15.0,10.0,,,,,,,,,,,,43.0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011760020303,149,44.7,12696.8,225.0,43,5.0,9.0,17.0,8.0,,,,,,,,,,,,43.0,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,
35011760020304,118,49.9,9312.5,450.0,43,5.0,6.0,24.0,,,,,,,,,,,,,41.0,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011770010001,766,46.2,4699.8,253.2,243,22.0,55.0,76.0,41.0,12.0,14.0,11.0,7.0,,,,,,,,224.0,,17.0,,,,39,,,,,,,15.0,,,,,,,,,,,,19.0,,,,,,,,25.0,,,,,,,,,,59.0,,38.0,
35011770010002,711,46.1,2517.5,229.4,235,18.0,,44.0,120.0,19.0,20.0,5.0,,,,,,,,,199.0,,35.0,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,
35011770010003,954,44.6,5227.5,162.2,262,25.0,21.0,46.0,57.0,47.0,34.0,20.0,5.0,,,,,,,,259.0,,,,,,67,,,11.0,,,,28.0,,,,,,,,,,,,16.0,,,,37.0,,,,51.0,,7.0,,,,,,,,12.0,25.0,20.0,
35011770010004,611,42.1,13365.5,120.5,223,,,9.0,127.0,79.0,,,,,,,,,,,29.0,194.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011770010005,818,45.9,15657.4,232.4,224,9.0,17.0,52.0,63.0,53.0,15.0,7.0,,,,,,,,,178.0,19.0,25.0,,,,26,,,5.0,,,,,,,,,,,,,,,,13.0,,,,12.0,,,,5.0,,5.0,,,,,,,,,,14.0,
35011770010006,470,46.1,7715.2,254.8,154,,11.0,49.0,43.0,34.0,7.0,5.0,,,,,,,,,126.0,26.0,,,,,19,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,,,,12.0,,,,,,,11.0,16.0,,17.0,,9.0,
35011770010007,695,49.9,7461.9,359.7,181,17.0,21.0,38.0,49.0,19.0,15.0,15.0,,,,,,,,,178.0,,,,,,49,,,8.0,,,,17.0,,,,,,,,,,,,11.0,,,,13.0,,,,21.0,,7.0,,,,,9.0,,,95.0,,11.0,
35011770010008,595,41.1,8640.0,113.5,197,,,44.0,38.0,6.0,,99.0,,,,,,,,,71.0,97.0,27.0,,,,59,,,,,,,21.0,,7.0,,,,,,,6.0,,,13.0,,,,,,,474.0,33.0,,14.0,,8.0,,,,,69.0,26.0,,21.0,
35011770010101,511,35.9,32929.9,36.2,151,,,,,,,,,,,151.0,,,,,,151.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,5.0,,,,,,,,
35011770010501,112,48.7,7336.6,560.0,42,,8.0,18.0,9.0,,,,,,,,,,,,41.0,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780010001,314,46.5,436.0,296.2,82,5.0,,10.0,13.0,11.0,18.0,13.0,,,,,,,,,81.0,,,,,,76,,,,,,,29.0,,14.0,,,,,,,,,6.0,10.0,,,,,,,76.0,81.0,84.0,63.0,,,,,9.0,,24.0,16.0,88.0,27.0,
35011780010002,1603,26.5,4550.2,268.4,261,,,,8.0,12.0,189.0,30.0,6.0,,,,,,,,88.0,171.0,,,,,147,,,12.0,,,,31.0,,47.0,,,5.0,12.0,8.0,,,,14.0,6.0,,,,43.0,,,30.0,79.0,,138.0,10.0,,18.0,57.0,13.0,,266.0,,37.0,7.0,
35011780010003,281,23.7,918.7,66.7,4,,,,,,,,,,,,,,,,,,,,,,52,,,9.0,,,9.0,7.0,,8.0,,,,6.0,,,,,,,,,,62.0,,,51.0,17.0,,30.0,7.0,,,27.0,8.0,,378.0,94.0,,,
35011780010004,564,34.0,188.0,468.8,105,21.0,,9.0,8.0,5.0,6.0,35.0,,,,,,8.0,,,105.0,,,,,,45,,,,,,,23.0,,5.0,,,,,,,,,,5.0,,,,21.0,,43.0,14.0,84.0,,20.0,,,11.0,58.0,11.0,,,,10.0,14.0,
35011780010005,1521,20.4,2527.4,0.0,0,,,,,,,,,,,,,,0.0,,,,,,5.0,,60,,,10.0,,,,12.0,,,8.0,,,7.0,,,11.0,,,,,,,17.0,,,7.0,24.0,,29.0,13.0,10.0,,27.0,8.0,,1558.0,,,,
35011780020001,227,17.0,704.7,0.0,1,,,,,,,,,,,,,,,,,,,,,,95,,,,,,12.0,17.0,,26.0,,,,5.0,,,,5.0,,11.0,,,,18.0,,,205.0,40.0,73.0,80.0,,15.0,7.0,18.0,10.0,443.0,218.0,85.0,,39.0,
35011780020002,161,29.1,2919.1,27.3,14,,,,,,,,,,,,,11.0,,,14.0,,,,,,49,,,,,,,5.0,,31.0,,,,,,,,,,6.0,,,,,,,23.0,10.0,,80.0,,,6.0,,,,,,,12.0,
35011780020003,414,31.7,7319.8,39.4,29,,,,,,,,,,,,17.0,8.0,,,29.0,,,,,,86,,,,,,7.0,16.0,,12.0,,,22.0,,,,,,,9.0,,,,6.0,,,25.0,37.0,,36.0,,10.0,24.0,12.0,,,,35.0,5.0,19.0,
35011780020004,209,28.6,5535.6,30.0,16,,,,,,,,,,,,9.0,7.0,,,16.0,,,,,,56,,,,,,,34.0,,7.0,,,,,,,,,,14.0,,,,,,,,50.0,,13.0,,,,,,,,,,17.0,
35011780020005,198,30.2,2427.8,20.0,18,,,,,,,,,,,,,12.0,,,18.0,,,,,,127,,,,,,,37.0,,20.0,,,,,,,21.0,13.0,11.0,14.0,,,,,,,50.0,79.0,,94.0,,14.0,,21.0,,,53.0,57.0,37.0,19.0,
35011780020006,190,30.3,12660.6,4.5,13,,,,,,,,,,,,8.0,,,,13.0,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,,,,,,,,,,,,,
35011780020007,278,23.8,3291.8,13.3,9,,,,,,,,,,,,,5.0,,,9.0,,,,,,158,,,,,,,15.0,,76.0,,,5.0,,,,23.0,8.0,10.0,9.0,,,,,,,83.0,41.0,,196.0,,36.0,6.0,7.0,,,121.0,25.0,19.0,12.0,
35011780020008,218,33.8,8611.3,5.3,17,,,,,,,,,,,,9.0,5.0,,,17.0,,,,,,57,,,,,,,29.0,,,,,6.0,,,,,,,18.0,,,,,,,,41.0,,,,,6.0,,,,,,,25.0,
35011780020009,143,28.0,5886.8,6.7,15,,,,,,,,,,,,,8.0,,,15.0,,,,,,10,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
35011780020010,168,31.7,8841.3,19.0,14,,,,,,,,,,,,9.0,,,,14.0,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
35011780020011,138,31.1,8883.8,6.7,12,,,,,,,,,,,,,9.0,,,12.0,,,,,,15,,,,,,,5.0,,,,,,,,,,,,6.0,,,,,,,,6.0,,,,,,,,,,,,7.0,
35011780020101,475,32.0,51246.6,20.9,147,,,,,,,,,,,,147.0,,,,,147.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780020102,589,30.6,36058.4,10.0,176,,,,,,,,,,,,176.0,,,,,176.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35011780020103,558,33.3,32378.3,22.1,176,,,,,,,,,,,,176.0,,,,,176.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,7.0,16.0,,,
35011780020201,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780020202,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780020203,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780020301,542,31.3,58231.4,21.7,195,,,,,,,,,,195.0,,,,,,,195.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780020302,623,33.7,26871.9,34.5,301,,,,,,,,,,301.0,,,,,,,301.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,10.0,,,
35011780020303,607,29.5,60901.9,11.2,195,,,,,,,,,,195.0,,,,,,,195.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011780020401,556,32.0,65655.3,21.6,179,,,,,,,,,,179.0,,,,,,,179.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35011780020402,723,34.1,42118.3,36.3,300,,,,,,,,,,300.0,,,,,,,300.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
