,code,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_ar_001,ho_ar_002,ho_ar_003,ho_ar_004,ho_ar_005,ho_ar_006,ho_ar_007,ho_ar_008,ho_ar_009,ho_ar_999,1970s,1980s,1990s,2000-2004,2005-2009,2010-2014,2015-2020,no_yr_data,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999,do_index,si_index,dong_index,fire_count
1531,35020650020002,430,52.6,4314.3,745.0,166,0.0,0.0,31.0,52.0,35.0,18.0,18.0,6.0,6.0,0.0,43.0,109.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,28.0,5.0,9.0,0.0,87,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,40.0,104.0,0.0,61.0,0.0,0.0,9.0,0.0,13.0,0.0,14.0,9.0,9.0,30.0,0.0,35,20,650,2.0
1532,35020650020003,436,49.3,3700.2,585.7,111,0.0,0.0,27.0,52.0,9.0,8.0,0.0,0.0,11.0,0.0,0.0,72.0,22.0,0.0,0.0,0.0,5.0,0.0,0.0,69.0,0.0,31.0,11.0,14.0,0.0,106,0.0,0.0,6.0,0.0,0.0,12.0,23.0,0.0,33.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,65.0,53.0,6.0,68.0,0.0,0.0,5.0,0.0,26.0,5.0,0.0,39.0,7.0,55.0,0.0,35,20,650,1.0
1533,35020650020004,441,53.1,4038.5,624.0,173,0.0,0.0,0.0,88.0,43.0,19.0,13.0,6.0,0.0,0.0,85.0,77.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,18.0,5.0,9.0,0.0,67,0.0,0.0,5.0,0.0,0.0,0.0,27.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,5.0,59.0,5.0,63.0,0.0,23.0,0.0,58.0,11.0,0.0,0.0,0.0,5.0,12.0,0.0,35,20,650,3.0
1534,35020650020005,393,39.7,4963.6,163.0,98,8.0,25.0,20.0,5.0,0.0,5.0,7.0,0.0,20.0,0.0,9.0,24.0,12.0,0.0,0.0,42.0,0.0,0.0,13.0,35.0,0.0,36.0,14.0,12.0,0.0,140,0.0,0.0,8.0,0.0,0.0,18.0,22.0,0.0,39.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,21.0,0.0,5.0,276.0,48.0,59.0,105.0,0.0,0.0,0.0,69.0,7.0,0.0,6.0,7.0,0.0,23.0,0.0,35,20,650,
1535,35020650020006,394,51.9,4063.0,736.8,78,0.0,19.0,11.0,20.0,5.0,0.0,5.0,0.0,10.0,0.0,10.0,5.0,28.0,6.0,0.0,11.0,10.0,0.0,19.0,56.0,0.0,0.0,0.0,6.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,88.0,0.0,13.0,0.0,35,20,650,
1536,35020650020007,423,49.3,7049.5,442.9,160,0.0,33.0,21.0,61.0,14.0,11.0,8.0,6.0,6.0,0.0,0.0,144.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,96.0,9.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,0.0,51.0,0.0,14.0,5.0,0.0,11.0,0.0,14.0,81.0,0.0,14.0,0.0,35,20,650,2.0
1537,35020650020008,317,38.6,3766.2,128.6,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,32.0,0.0,0.0,7.0,10.0,0.0,92,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,16.0,0.0,0.0,9.0,7.0,5.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,91.0,28.0,0.0,36.0,6.0,24.0,12.0,47.0,38.0,97.0,25.0,148.0,8.0,13.0,0.0,35,20,650,
1538,35020650020009,428,52.2,8735.2,435.5,168,0.0,0.0,37.0,78.0,22.0,12.0,13.0,5.0,0.0,0.0,32.0,125.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,37.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,122.0,0.0,14.0,17.0,0.0,10.0,0.0,35,20,650,
1539,35020650020010,416,46.4,4731.7,305.7,56,0.0,0.0,0.0,8.0,9.0,10.0,0.0,8.0,18.0,0.0,0.0,0.0,26.0,0.0,5.0,5.0,0.0,0.0,0.0,42.0,0.0,0.0,10.0,7.0,0.0,96,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,0.0,7.0,0.0,0.0,52.0,153.0,54.0,54.0,0.0,135.0,0.0,10.0,47.0,25.0,23.0,583.0,0.0,62.0,0.0,35,20,650,1.0
1540,35020650030001,278,52.2,403.0,531.3,120,0.0,8.0,69.0,20.0,0.0,10.0,6.0,0.0,0.0,0.0,7.0,83.0,13.0,0.0,0.0,9.0,0.0,0.0,8.0,42.0,0.0,61.0,9.0,14.0,0.0,371,0.0,0.0,11.0,0.0,0.0,5.0,177.0,9.0,75.0,0.0,0.0,26.0,0.0,0.0,0.0,10.0,6.0,12.0,33.0,0.0,0.0,50.0,0.0,0.0,13.0,498.0,68.0,335.0,23.0,14.0,77.0,0.0,5.0,0.0,25.0,32.0,55.0,84.0,0.0,35,20,650,1.0
