,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011630020402,493,37.7,40993.1,46.7,148,,,,148.0,,,,,,,,,,,,,,,148.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020403,457,37.2,41984.7,26.1,140,,,,140.0,,,,,,,,,,,,,,,140.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011630020404,582,37.2,48009.0,45.7,186,,,,186.0,,,,,,,,,,,,,,,186.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,5.0,,,
35011630020405,573,39.3,47106.5,74.0,186,,,,186.0,,,,,,,,,,,,,,,186.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020601,402,34.4,70638.7,25.3,129,,,,129.0,,,,,,,,,,,,,,,129.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35011630020602,510,37.8,56830.7,48.6,174,,,,174.0,,,,,,,,,,,,,,,174.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,10.0,,,
35011630020801,556,40.9,45312.0,104.7,214,,,214.0,,,,,,,,,,,,,,,,214.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011630020802,529,44.4,35365.4,145.2,197,,,197.0,,,,,,,,,,,,,,,,197.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,9.0,,,,,,,6.0,
35011640010001,417,50.5,4206.9,605.3,140,45.0,52.0,25.0,10.0,,,,,,,,,,,,,13.0,106.0,16.0,,5.0,6.0,,88,,,,,,,41.0,,9.0,,,,,,,,6.0,,12.0,,,,,,15.0,88.0,,22.0,,9.0,7.0,,7.0,,,34.0,,18.0,
35011640010002,454,46.5,13198.8,192.3,218,14.0,18.0,8.0,158.0,12.0,7.0,,,,,,,,,,,18.0,41.0,157.0,,,,,32,,,,,,,9.0,,,,,,,,,,,,9.0,,,,,,,16.0,,13.0,,,,,,,,5.0,,20.0,
