,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_016,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35020690011601,431,33.5,39193.6,20.4,133,,,,,133.0,,,,,,,,,,,,,,,133.0,,,,,18,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,11.0,,,,
35020690011602,386,32.8,34654.8,16.3,132,,,,,132.0,,,,,,,,,,,,,,,132.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690011603,469,31.4,48098.1,6.4,141,,,,,141.0,,,,,,,,,,,,,,,141.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,12.0,,,
35020690011604,476,32.5,69174.7,18.3,136,,,,,136.0,,,,,,,,,,,,,,,136.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690011605,403,33.8,49293.5,21.9,126,,,,,126.0,,,,,,,,,,,,,,,126.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690011701,438,36.4,38623.1,37.4,127,,,,,127.0,,,,,,,,,,,,,,,127.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690011702,518,36.4,45311.5,29.1,160,,,,,160.0,,,,,,,,,,,,,,,160.0,,,,,24,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,8.0,,51.0,,7.0,,,,
35020690011703,558,33.7,48822.4,19.7,164,,,,,164.0,,,,,,,,,,,,,,,164.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,8.0,,,
35020690011704,537,35.2,50325.0,25.6,163,,,,,163.0,,,,,,,,,,,,,,,163.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690011801,521,39.6,50683.6,75.6,196,,,196.0,,,,,,,,,,,,,,,,,196.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
35020690011802,468,39.1,53054.4,64.3,183,,,183.0,,,,,,,,,,,,,,,,,183.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
35020690011803,531,42.5,47572.0,112.7,220,,,220.0,,,,,,,,,,,,,,,,,220.0,,,,,27,,,,,,,6.0,,,,,7.0,,,,,,,,,,,,,,9.0,,,,,10.0,,,,,5.0,,5.0,
35020690011901,183,37.5,37336.5,80.0,130,,,,,,,,,,,130.0,,,,,,,,,130.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,9.0,,,,6.0,,,,,5.0,5.0,,,,,,,
35020690012001,849,40.4,73879.7,83.9,296,,,,296.0,,,,,,,,,,,,,,,,296.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,5.0,,,
35020690012002,304,43.5,29937.6,127.9,110,,,,110.0,,,,,,,,,,,,,,,,110.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690012003,627,37.5,66456.8,43.1,205,,,,205.0,,,,,,,,,,,,,,,,205.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690012004,792,40.9,57025.7,84.6,277,,,,277.0,,,,,,,,,,,,,,,,277.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020690012101,471,42.5,62776.8,114.1,198,,,198.0,,,,,,,,,,,,,,,,,198.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,14.0,,,
35020690012102,464,44.1,55453.4,152.5,170,,,170.0,,,,,,,,,,,,,,,,,170.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35020690012103,607,43.2,48634.2,131.7,226,,,226.0,,,,,,,,,,,,,,,,,226.0,,,,,17,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35020690020001,430,38.2,539.5,102.9,84,,,15.0,16.0,19.0,5.0,9.0,,,,,,,,,,,,72.0,,,12.0,,,362,,,,,,10.0,116.0,77.0,47.0,,,27.0,,,,19.0,8.0,9.0,32.0,,,6.0,5.0,,33.0,236.0,157.0,105.0,,44.0,29.0,,130.0,,65.0,93.0,15.0,72.0,
35020690020002,536,37.7,11780.5,73.2,82,,,14.0,11.0,18.0,5.0,7.0,13.0,,,,,,,,,,,82.0,,,,,,90,,,,,,8.0,30.0,,16.0,,,,,,,5.0,,,17.0,,,,,,20.0,44.0,,30.0,,,,,,,21.0,,,17.0,
35020690020003,452,41.3,3296.2,179.2,100,,,14.0,27.0,29.0,8.0,,7.0,5.0,,,,,,,,,,99.0,,,,,,177,,,7.0,,,16.0,51.0,10.0,37.0,,,6.0,5.0,6.0,,,5.0,,25.0,,,11.0,,,55.0,113.0,16.0,67.0,,9.0,6.0,10.0,378.0,,5.0,632.0,9.0,25.0,
35020690020004,460,36.7,11934.6,76.7,72,,,,17.0,13.0,7.0,7.0,7.0,8.0,,,,,,,,,,70.0,,,,,,88,,,5.0,,,,16.0,,34.0,,,10.0,,,,,,6.0,8.0,,,6.0,,,13.0,31.0,,73.0,,,29.0,,,,,,7.0,13.0,
35020690020005,527,36.8,9765.7,53.1,90,,,8.0,23.0,18.0,6.0,,10.0,9.0,,,,,,,,,,88.0,,,,,,123,,,10.0,,,7.0,30.0,,42.0,,,5.0,,,,,,,11.0,,,13.0,,,36.0,49.0,5.0,72.0,10.0,,5.0,,33.0,,,,,15.0,
35020690020006,449,37.5,9976.7,88.9,85,,,27.0,17.0,15.0,,6.0,5.0,,,,,,,,,,,80.0,,,5.0,,,164,,,,,,,46.0,,45.0,,,,,,,31.0,,8.0,19.0,,,,,,10.0,78.0,,94.0,6.0,6.0,,,34.0,61.0,56.0,9.0,9.0,22.0,
35020690020007,422,41.0,403.0,118.4,105,16.0,6.0,10.0,9.0,31.0,5.0,,,,6.0,,,,,,,,,80.0,16.0,,9.0,,,95,,,,,,,16.0,,31.0,,,5.0,,,,16.0,6.0,,12.0,,,,,,207.0,33.0,,67.0,,,5.0,16.0,,,232.0,61.0,,16.0,
35020690020101,439,29.7,41141.4,11.9,162,,,,,,,,,,162.0,,,,,,,,,,162.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,16.0,,,,5.0,6.0,,,
35020690020102,490,31.0,53152.0,12.4,166,,,,,,,,,,166.0,,,,,,,,,,166.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
35020690020103,546,31.4,43483.4,15.6,174,,,,,,,,,,174.0,,,,,,,,,,174.0,,,,,14,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,6.0,,,7.0,
35020690020104,447,32.5,56604.2,14.9,158,,,,,,,,,,158.0,,,,,,,,,,158.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690020105,543,32.5,61551.0,15.3,174,,,,,,,,,,174.0,,,,,,,,,,174.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35020690020201,660,35.2,46948.7,34.0,222,,,,222.0,,,,,,,,,,,,,,,,222.0,,,,,19,,,,,,,,,,,,5.0,,,,,,,,,,,,,,7.0,,,,,12.0,,,,8.0,6.0,,,
35020690020202,646,36.0,51337.4,35.7,218,,,,218.0,,,,,,,,,,,,,,,,218.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690020301,573,31.5,51696.4,10.0,217,,,,,,,,,,,217.0,,,,,,,,,217.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35020690020302,451,31.6,47644.3,6.3,166,,,,,,,,,,,166.0,,,,,,,,,166.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35020690020303,350,30.6,57847.3,14.2,121,,,,,,,,,,,121.0,,,,,,,,,121.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690020401,467,43.3,41273.7,94.8,158,,,,,158.0,,,,,,,,,,,,,,,158.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690020402,623,37.1,40411.3,34.0,199,,,,,199.0,,,,,,,,,,,,,,,199.0,,,,,21,,,,,,,,,,,,5.0,,,,,,,6.0,,,,,,,7.0,,,,,16.0,,,,,,,6.0,
35020690020403,456,38.7,37801.3,57.5,143,,,,,143.0,,,,,,,,,,,,,,,143.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690020501,494,30.7,48246.2,7.7,173,,,,,,,,,,,173.0,,,,,,,,,173.0,,,,,16,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,7.0,,,,,11.0,,,
35020690020502,613,31.2,57401.9,13.5,207,,,,,,,,,,,207.0,,,,,,,,,207.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020690020701,561,44.5,48379.9,150.8,306,,,306.0,,,,,,,,,,,,,,,,,306.0,,,,,11,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,7.0,,,,,,,,
35020700010001,413,51.4,4325.5,432.1,170,,96.0,64.0,5.0,,,,,,,,,,,,,,21.0,49.0,,87.0,13.0,12.0,,283,,,12.0,,,8.0,48.0,,135.0,,,,5.0,,,6.0,8.0,25.0,27.0,10.0,,25.0,,,11.0,83.0,,232.0,,,,11.0,,,17.0,138.0,41.0,42.0,
35020700010002,417,47.4,10522.4,209.3,165,,31.0,101.0,,,,,29.0,,,,,,,,,,,30.0,132.0,,,,,58,,,,,,5.0,16.0,,6.0,,,,,,,5.0,,,13.0,,,,,,5.0,19.0,,9.0,35.0,,,,9.0,,21.0,20.0,,13.0,
35020700010003,363,43.2,2367.4,97.9,132,,,31.0,,71.0,,,,,,27.0,,,,,,,25.0,7.0,16.0,82.0,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,109.0,,25.0,
35020700010004,416,45.7,3864.5,230.3,158,,96.0,18.0,,,,,,,40.0,,,,,,,,,32.0,115.0,,7.0,15.0,,203,,,9.0,,,,82.0,,32.0,,,9.0,,,,7.0,12.0,,38.0,,,19.0,,,,115.0,,71.0,11.0,,10.0,,11.0,49.0,41.0,104.0,5.0,46.0,
35020700010005,475,50.7,5620.9,373.7,221,,151.0,58.0,5.0,,,,,,,,,,,,,,41.0,54.0,,119.0,7.0,,,100,,,,,,,24.0,,25.0,,,,,,,,5.0,,28.0,,,,,,,38.0,,66.0,,,,,,,,27.0,6.0,34.0,
35020700010006,465,50.0,3450.5,652.9,230,,205.0,,,,,,15.0,,,,,,,,,,,14.0,138.0,76.0,,,,56,,,,,,,17.0,,13.0,,,6.0,,,,,,,5.0,,,102.0,17.0,,19.0,31.0,,23.0,,,11.0,,,,128.0,45.0,,6.0,
35020700010007,484,45.8,17110.8,230.8,180,,5.0,166.0,,,,,,,,,,,,,,,,37.0,141.0,,,,,21,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,10.0,15.0,,,17.0,,,
35020700010008,587,45.9,16455.3,203.4,206,,33.0,147.0,12.0,,,,,7.0,,,,,,,,,22.0,17.0,92.0,63.0,12.0,,,57,,,,,,8.0,13.0,,,,,,,,,,,,18.0,,,,,,35.0,13.0,,11.0,,,,,,,12.0,11.0,,18.0,
35020700010009,403,49.9,21256.4,396.3,191,,128.0,62.0,,,,,,,,,,,,,,,,9.0,136.0,43.0,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,
35020700010010,419,45.9,19570.2,207.7,181,,,55.0,27.0,18.0,,,10.0,17.0,,,28.0,25.0,,,,,22.0,20.0,131.0,8.0,,,,11,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,
35020700010011,396,42.2,5075.0,160.0,116,,35.0,36.0,6.0,5.0,,,,16.0,,,,,,,,,,86.0,,23.0,7.0,,,133,,,,,,,47.0,,13.0,,,9.0,,,,7.0,13.0,,22.0,,,12.0,,,5.0,76.0,7.0,24.0,,7.0,11.0,10.0,7.0,,30.0,228.0,7.0,25.0,
35020700010012,506,41.7,16287.9,130.3,157,,14.0,94.0,,,,,,45.0,,,,,,,,,20.0,37.0,44.0,50.0,6.0,,,23,,,,,,,7.0,,,,,,,,,,,,6.0,,,,,,,9.0,,,,,,,,,,,,6.0,
35020700010013,449,57.5,4009.0,779.2,83,,19.0,16.0,,,,,,,,,43.0,,,,,,,10.0,43.0,16.0,14.0,61.0,,284,,,11.0,,,11.0,76.0,,65.0,6.0,15.0,13.0,7.0,12.0,,10.0,12.0,12.0,28.0,,,22.0,,,43.0,171.0,,116.0,9.0,211.0,20.0,12.0,95.0,10.0,74.0,161.0,15.0,40.0,
35020700010014,395,44.9,13878.0,176.5,151,,39.0,48.0,,,,39.0,23.0,,,,,,,,,,25.0,56.0,58.0,8.0,,,,38,,,,,,6.0,7.0,,6.0,,,,,,,,,,12.0,,,,,,22.0,14.0,,7.0,,,,,,,,,,13.0,
35020700010015,551,47.6,17074.4,310.3,254,,143.0,74.0,,,,,,34.0,,,,,,,,,,34.0,188.0,21.0,11.0,,,57,,,,,,,13.0,,21.0,,,,,,,,,,7.0,,,,,,,18.0,,31.0,,,,,,,,,,7.0,
35020700010016,429,45.8,27580.4,164.4,185,,170.0,15.0,,,,,,,,,,,,,,,,,178.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020700010017,576,47.6,35177.5,302.3,240,,68.0,134.0,,,,,,,,,38.0,,,,,,,,171.0,67.0,,15.0,,17,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,46.0,,,,,6.0,
35020700010101,371,46.2,61160.0,193.2,153,,,153.0,,,,,,,,,,,,,,,,,153.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35020700010201,514,45.4,54008.7,164.8,216,,,216.0,,,,,,,,,,,,,,,,,216.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020700010901,563,46.0,43418.6,221.6,215,,,215.0,,,,,,,,,,,,,,,,,215.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020700010902,605,48.6,47052.4,309.1,239,,,239.0,,,,,,,,,,,,,,,,,239.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
35020700011801,657,48.3,9306.4,249.1,369,,369.0,,,,,,,,,,,,,,,,,,369.0,,,,,40,,,,,,,20.0,,,,,,,,,,,,5.0,,,6.0,,,,27.0,,5.0,,,8.0,,,,,10.0,,5.0,
35020700011901,366,52.8,16688.8,858.3,200,200.0,,,,,,,,,,,,,,,,,,,200.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
35020700012001,341,47.3,62013.0,300.0,158,,,158.0,,,,,,,,,,,,,,,,,158.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35020700012101,492,38.7,54093.5,61.2,191,,,,,,191.0,,,,,,,,,,,,,,191.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35020700012102,599,37.9,50050.1,51.6,205,,,,,,205.0,,,,,,,,,,,,,,205.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010001,348,36.7,5652.8,29.4,66,,,,,14.0,16.0,13.0,11.0,,,,,,,,,,,65.0,,,,,,137,,,,,,,24.0,,54.0,,,,,,,23.0,,,23.0,,,,,,,32.0,,127.0,,8.0,,,12.0,,55.0,5.0,,25.0,
35020710010002,323,40.5,1226.6,81.0,89,5.0,,10.0,15.0,14.0,6.0,,,26.0,,,,,,,,,10.0,35.0,,23.0,21.0,25.0,,703,,,18.0,,,5.0,181.0,,180.0,5.0,13.0,35.0,10.0,11.0,,83.0,37.0,40.0,83.0,,,29.0,,,39.0,340.0,,482.0,22.0,246.0,49.0,35.0,201.0,24.0,260.0,212.0,70.0,149.0,
35020710010003,66,35.7,1260.5,58.3,9,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,198,,,8.0,,,,53.0,,46.0,,,7.0,,,,16.0,9.0,9.0,36.0,,,12.0,,,7.0,94.0,,75.0,10.0,17.0,12.0,10.0,,,129.0,56.0,34.0,42.0,
35020710010101,580,43.4,46697.5,123.3,228,,,228.0,,,,,,,,,,,,,,,,,228.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
35020710010102,437,38.7,77644.8,62.7,178,,,178.0,,,,,,,,,,,,,,,,,178.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010103,614,43.9,62391.3,139.2,225,,,225.0,,,,,,,,,,,,,,,,,225.0,,,,,27,,,,,,,,,,,,5.0,,,,,,,6.0,,,,,,,,,,,,5.0,,,,5.0,,,6.0,
35020710010104,476,45.9,42113.6,191.1,182,,,182.0,,,,,,,,,,,,,,,,,182.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,7.0,,,
35020710010105,503,42.6,52042.4,92.3,181,,,181.0,,,,,,,,,,,,,,,,,181.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35020710010106,615,45.0,44677.0,198.1,258,,,258.0,,,,,,,,,,,,,,,,,258.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,5.0,,,
35020710010107,665,41.3,47734.9,76.3,228,,,228.0,,,,,,,,,,,,,,,,,228.0,,,,,18,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,7.0,,,,,,,,,,,,5.0,
35020710010108,400,40.2,42764.4,76.6,152,,,152.0,,,,,,,,,,,,,,,,,152.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35020710010109,676,41.4,69478.2,76.1,239,,,239.0,,,,,,,,,,,,,,,,,239.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35020710010201,670,62.8,28181.4,3955.6,528,,,528.0,,,,,,,,,,,,,,,,,528.0,,,,,19,,,,,,,,,,,,,,,,,6.0,,,,,,,,,6.0,,,,,14.0,,,,,138.0,,,
35020710010202,599,62.6,48630.7,5940.0,492,,,492.0,,,,,,,,,,,,,,,,,492.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010203,622,62.7,33618.6,6320.0,512,,,512.0,,,,,,,,,,,,,,,,,512.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35020710010301,436,47.1,54968.5,200.0,228,,,228.0,,,,,,,,,,,,,,,,,228.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,6.0,,,
35020710010302,521,43.8,42137.9,145.3,216,,,216.0,,,,,,,,,,,,,,,,,216.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010303,457,47.3,49046.7,235.6,224,,,224.0,,,,,,,,,,,,,,,,,224.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010304,662,40.9,50172.4,81.7,280,,,280.0,,,,,,,,,,,,,,,,,280.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010305,448,42.0,40150.0,121.1,181,,,181.0,,,,,,,,,,,,,,,,,181.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010306,439,46.8,39813.9,252.8,201,,,201.0,,,,,,,,,,,,,,,,,201.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010401,579,41.5,42607.2,85.6,211,,,211.0,,,,,,,,,,,,,,,,,211.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020710010402,369,41.9,37036.1,105.0,142,,,142.0,,,,,,,,,,,,,,,,,142.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,7.0,,,
35020710010403,460,41.7,67969.7,97.3,156,,,156.0,,,,,,,,,,,,,,,,,156.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010404,491,42.8,50292.7,136.2,182,,,182.0,,,,,,,,,,,,,,,,,182.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,5.0,,,
35020710010405,372,43.2,40334.2,146.7,147,,,147.0,,,,,,,,,,,,,,,,,147.0,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010406,338,44.5,53290.2,180.0,138,,,138.0,,,,,,,,,,,,,,,,,138.0,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,6.0,
35020710010407,568,41.3,80890.3,98.1,200,,,200.0,,,,,,,,,,,,,,,,,200.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010501,643,34.6,49067.3,26.0,235,,,,,235.0,,,,,,,,,,,,,,,235.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,9.0,,,
35020710010502,446,33.4,71520.3,22.2,156,,,,,156.0,,,,,,,,,,,,,,,156.0,,,,,18,,,,,,,5.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,5.0,,,6.0,
35020710010601,460,45.2,38034.9,182.5,168,,,168.0,,,,,,,,,,,,,,,,,168.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
35020710010602,567,45.4,37918.1,173.8,209,,,209.0,,,,,,,,,,,,,,,,,209.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010603,524,43.3,40938.8,123.9,189,,,189.0,,,,,,,,,,,,,,,,,189.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,6.0,,,
35020710010604,583,41.7,40971.2,89.6,216,,,216.0,,,,,,,,,,,,,,,,,216.0,,,,,28,,,,,,,6.0,,,,,,,,,,,,7.0,,,,,,,8.0,,,,,17.0,,,,,19.0,,7.0,
35020710010605,539,41.9,56410.3,114.7,197,,,197.0,,,,,,,,,,,,,,,,,197.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020710010606,412,44.9,51136.4,136.4,167,,,167.0,,,,,,,,,,,,,,,,,167.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010607,469,44.6,42972.7,167.3,196,,,196.0,,,,,,,,,,,,,,,,,196.0,,,,,26,,,,,,,,,6.0,,,,,,,,,,,,,,,,,5.0,,8.0,,,,,,,,17.0,,,
35020710010701,401,38.8,153612.8,56.1,138,,,138.0,,,,,,,,,,,,,,,,,138.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010702,446,43.4,45054.8,121.2,156,,,156.0,,,,,,,,,,,,,,,,,156.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010703,506,39.6,45712.5,63.5,176,,,176.0,,,,,,,,,,,,,,,,,176.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,5.0,,,
35020710010704,474,44.1,48816.9,154.9,166,,,166.0,,,,,,,,,,,,,,,,,166.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
35020710010801,556,33.7,47283.0,18.0,164,,,,,164.0,,,,,,,,,,,,,,,164.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010802,377,33.8,59298.9,19.8,108,,,,,108.0,,,,,,,,,,,,,,,108.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
35020710010803,357,34.4,59467.4,25.3,108,,,,,108.0,,,,,,,,,,,,,,,108.0,,,,,9,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
35020710010804,696,37.0,59874.7,33.3,222,,,,,222.0,,,,,,,,,,,,,,,222.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35020710010805,530,38.7,52242.9,53.7,170,,,,,170.0,,,,,,,,,,,,,,,170.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35020720010001,527,40.2,2923.8,245.5,119,,,,,52.0,,8.0,16.0,,6.0,10.0,15.0,,,,,,,118.0,,,,,,90,,,,,,10.0,13.0,,46.0,,,,,,,,,,5.0,,,,,,21.0,20.0,,80.0,,,,,,,,,,7.0,
35020720020001,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,
35020720020101,279,41.9,6288.1,48.6,175,,,,,,,,175.0,,,,,,,,,,,,175.0,,,,,14,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,10.0,,,,7.0,,11.0,,,5.0,,,
35020720030001,386,40.7,4666.2,169.2,119,,,,,57.0,9.0,5.0,19.0,12.0,,5.0,7.0,,,,,,,118.0,,,,,,37,,,,,,5.0,,,6.0,,,6.0,,,,,,,,,,8.0,,,7.0,8.0,10.0,11.0,,,8.0,6.0,8.0,,,,,6.0,
35020720030002,344,41.5,3492.8,218.2,89,,,,,42.0,,,15.0,5.0,,9.0,7.0,,,,,,,87.0,,,,,,89,,,,,,12.0,15.0,,35.0,,,7.0,,,,,,6.0,,,,,,,19.0,22.0,,57.0,19.0,,7.0,,,5.0,,8.0,9.0,,
35020720040001,495,41.4,213.6,143.5,158,,,,,101.0,8.0,6.0,13.0,13.0,,,,,,,,,,157.0,,,,11.0,,129,,,15.0,,,6.0,30.0,5.0,29.0,,,16.0,,8.0,,,,,7.0,,,397.0,,120.0,13.0,59.0,7.0,53.0,,,16.0,,26.0,,,,,12.0,
